text,true,pred
How do I locate my card?,card_arrival,get_physical_card
When will I get my card?,card_arrival,card_delivery_estimate
How long does a card delivery take?,card_arrival,card_delivery_estimate
I think something went wrong with my card delivery as I haven't received it yet.,card_arrival,card_delivery_estimate
How do I know when my card will arrive?,card_arrival,card_delivery_estimate
"I'm starting to think my card is lost because it still hasn't arrived, can you help?",card_arrival,lost_or_stolen_card
Can I link another card to my account?,card_linking,getting_spare_card
Is it a good time to exchange?,exchange_rate,exchange_charge
Why am I being charged more ?,card_payment_wrong_exchange_rate,card_payment_fee_charged
The exchange rate seems off on this transaction,card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal
How can I check the exchange rate applied to my transaction?,card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal
There is a fee I don't recognize on my statement.,extra_charge_on_statement,card_payment_not_recognised
When will the $1 transaction be credited to me?,extra_charge_on_statement,card_delivery_estimate
Where did this fee come from?,extra_charge_on_statement,verify_source_of_funds
"It's been two weeks, why has the transaction for $1.00 not been reversed?",extra_charge_on_statement,reverted_card_payment?
I made a withdrawal from my account but it has not posted?,pending_cash_withdrawal,cash_withdrawal_not_recognised
Where's accounting for my cash withdrawal?,pending_cash_withdrawal,cash_withdrawal_charge
My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_card_payment
how long does it take to post atm with drawl,pending_cash_withdrawal,card_delivery_estimate
"What's a pending transaction? My card was declined at an ATM, but my account says it's still pending. Can I cancel the payment?",pending_cash_withdrawal,pending_card_payment
"If I request that my funds be held, what currencies do you use?",fiat_currency_support,supported_cards_and_currencies
Do you support any currency?,fiat_currency_support,supported_cards_and_currencies
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,balance_not_updated_after_cheque_or_cash_deposit
Do you offer additional currency options?,fiat_currency_support,supported_cards_and_currencies
Can you tell me what currency I can have?,fiat_currency_support,supported_cards_and_currencies
Am I able to exchange currencies?,fiat_currency_support,exchange_via_app
I want to make a currency exchange to EU.,fiat_currency_support,exchange_via_app
Can I exchange currencies?,fiat_currency_support,exchange_via_app
How do I accept exchanges to EU?,fiat_currency_support,exchange_rate
What countries can I travel to and have access to their currencies?,fiat_currency_support,country_support
my card was not in the mail again can you advise?,card_delivery_estimate,card_arrival
"Ordered awhile back, what is the ETA in the US?",card_delivery_estimate,country_support
When are cards delivered?,card_delivery_estimate,order_physical_card
Can I get my card expedited?,card_delivery_estimate,card_arrival
I am waiting for my card to arrive.,card_delivery_estimate,card_arrival
Can I space out how often money is transferred along my travels?,automatic_top_up,top_up_limits
Can you please identify the problem with my bank card?,card_not_working,unable_to_verify_identity
How do I unblock my card using the app?,card_not_working,pin_blocked
I have tried to use my card several times and it does not work.,card_not_working,declined_card_payment
How would I use my money in a different country?,exchange_via_app,wrong_exchange_rate_for_cash_withdrawal
"If I receive foreign currencies, am I able to exchange them on the app?",exchange_via_app,exchange_charge
What is the best way to exchange currency?,exchange_via_app,exchange_charge
Can I change my currency from USD to EUR?,exchange_via_app,fiat_currency_support
My card was taken from me,lost_or_stolen_card,cash_withdrawal_not_recognised
I cannot find my credit card.,lost_or_stolen_card,topping_up_by_card
Are you able to locate my card?,lost_or_stolen_card,country_support
Where can I view my PIN?,pin_blocked,get_physical_card
Will you reinstate my PIN?,pin_blocked,get_physical_card
"How do I reset my PIN, I can't seem to use my card?",pin_blocked,card_not_working
"I attempted to use my card while I was intoxicated, and I failed to input my PIN, and the machine kept my card. How soon can I have it back?",pin_blocked,card_swallowed
Can I reactivate my PIN?,pin_blocked,card_linking
"My card's frozen, what can I do?",pin_blocked,card_not_working
what is required documents for new card process ?,contactless_not_working,verify_my_identity
The NFC payment wouldn't work on the bus today. Help?,contactless_not_working,declined_card_payment
what is the charges for new card?,contactless_not_working,top_up_by_card_charge
"I need to make a transfer, what will the fee be?",top_up_by_bank_transfer_charge,transfer_fee_charged
Will a transfer incur a fee?,top_up_by_bank_transfer_charge,transfer_fee_charged
What are the fees for top-ups?,top_up_by_bank_transfer_charge,top_up_by_card_charge
Can you tell me what the transfer policy is?,top_up_by_bank_transfer_charge,pending_transfer
What us the fee to transfer money from my bank?,top_up_by_bank_transfer_charge,transfer_into_account
